0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,
6,7,8,8,8,9,9,9,8,9,10,13,14,14,11,10,10,12,13,14,13,13,13,13,12,11,11,12,13,13,14,13,13,13,13,13,13,12,12,11,11,9,7,4,1,0,0,0,0,0,2,5,7,8,8,8,7,6,6,6,6,7,7,5,
22,27,31,32,36,39,40,39,37,39,45,49,50,45,39,35,36,41,47,51,55,54,54,54,51,48,48,48,50,52,53,53,53,55,56,54,50,46,46,46,44,37,26,14,6,1,0,0,0,2,7,14,23,30,34,33,30,28,28,30,32,32,28,22,
46,59,72,82,89,94,94,93,93,95,100,106,105,94,82,74,77,88,102,114,120,120,119,116,112,109,106,107,110,112,114,115,114,115,114,112,106,102,101,100,94,80,58,34,14,3,0,0,0,6,16,32,50,64,73,72,69,66,66,68,72,71,63,48,
105,142,173,192,199,203,202,198,199,204,209,214,209,188,161,142,142,163,193,221,235,235,228,221,213,209,205,207,214,218,221,223,221,223,222,218,214,209,204,203,190,162,120,72,30,7,0,0,2,10,34,70,110,141,158,158,150,145,142,146,156,156,138,105,
371,504,596,624,625,620,612,600,596,605,611,619,602,543,460,398,389,437,522,599,640,648,643,625,613,607,605,615,626,633,636,633,629,620,614,611,607,602,596,590,570,487,363,218,92,16,0,0,3,32,121,249,384,496,554,559,555,548,542,548,556,553,488,371,
1011,1364,1596,1669,1661,1642,1617,1602,1597,1608,1628,1635,1570,1414,1203,1049,1031,1149,1355,1543,1649,1678,1667,1656,1649,1650,1658,1672,1681,1686,1679,1669,1657,1645,1628,1620,1605,1596,1599,1587,1499,1273,941,578,267,65,2,1,15,119,367,712,1090,1403,1579,1618,1598,1572,1570,1568,1585,1542,1340,1019,
2019,2680,3122,3286,3268,3239,3211,3188,3179,3186,3212,3196,3055,2752,2381,2121,2093,2302,2671,3020,3230,3290,3279,3280,3284,3291,3307,3320,3329,3320,3315,3306,3291,3260,3225,3201,3184,3185,3187,3151,2950,2508,1866,1170,564,166,8,3,49,296,788,1458,2181,2778,3142,3273,3253,3225,3212,3204,3215,3064,2644,2017,
3204,4204,4889,5185,5155,5113,5073,5048,5042,5048,5074,5028,4780,4311,3752,3366,3329,3643,4192,4720,5060,5162,5162,5185,5199,5216,5245,5253,5265,5257,5249,5231,5184,5141,5102,5073,5064,5056,5056,5006,4651,3950,2965,1857,923,297,17,11,104,523,1288,2324,3452,4370,4964,5213,5199,5167,5144,5128,5133,4834,4163,3187,
4236,5542,6441,6857,6822,6789,6763,6737,6730,6735,6734,6638,6292,5662,4944,4449,4402,4822,5535,6231,6671,6821,6830,6858,6884,6925,6956,6964,6968,6951,6932,6916,6869,6839,6801,6765,6748,6741,6733,6676,6186,5248,3953,2481,1249,416,32,33,177,755,1761,3121,4591,5782,6570,6904,6912,6895,6873,6858,6853,6402,5513,4218,
4790,6258,7267,7755,7727,7715,7713,7695,7689,7671,7650,7527,7102,6379,5576,5035,4988,5462,6253,7030,7518,7693,7712,7743,7785,7826,7849,7854,7861,7852,7837,7828,7809,7778,7737,7713,7721,7706,7691,7631,7055,6003,4529,2847,1446,497,61,84,285,968,2112,3628,5238,6552,7422,7809,7837,7849,7831,7825,7810,7285,6251,4772,
4718,6175,7177,7663,7659,7663,7666,7670,7660,7639,7597,7465,7029,6289,5480,4942,4901,5376,6164,6934,7408,7587,7620,7647,7681,7709,7726,7731,7730,7731,7731,7724,7711,7699,7690,7689,7688,7681,7685,7609,7061,6007,4535,2853,1457,516,120,183,441,1138,2275,3742,5274,6519,7339,7694,7750,7772,7765,7763,7752,7238,6202,4719,
4093,5376,6258,6672,6683,6710,6732,6750,6740,6712,6671,6535,6137,5484,4753,4263,4229,4663,5368,6046,6461,6609,6627,6654,6672,6684,6685,6688,6672,6676,6691,6696,6712,6729,6743,6754,6749,6749,6762,6707,6248,5330,4028,2539,1312,508,227,361,676,1326,2314,3540,4784,5781,6413,6669,6725,6755,6786,6787,6779,6347,5431,4122,
3190,4201,4898,5212,5237,5267,5301,5323,5314,5297,5271,5151,4838,4312,3722,3332,3303,3644,4199,4733,5063,5175,5195,5206,5213,5195,5178,5175,5165,5172,5190,5211,5241,5258,5284,5301,5312,5334,5333,5294,4968,4259,3231,2071,1107,523,396,621,1004,1590,2361,3223,4036,4666,5046,5194,5241,5280,5309,5325,5314,4988,4267,3229,
2302,3041,3553,3792,3818,3839,3858,3882,3891,3894,3885,3799,3566,3168,2725,2425,2396,2641,3065,3464,3710,3803,3818,3810,3798,3769,3739,3721,3715,3728,3740,3750,3774,3805,3842,3865,3882,3897,3899,3882,3663,3155,2427,1598,938,607,650,977,1426,1932,2462,2949,3341,3610,3742,3771,3797,3813,3840,3848,3855,3629,3105,2345,
1552,2054,2403,2559,2579,2595,2612,2637,2651,2660,2661,2608,2457,2179,1868,1659,1631,1801,2104,2388,2551,2607,2610,2588,2566,2536,2506,2484,2471,2476,2481,2498,2530,2558,2592,2611,2618,2631,2636,2637,2518,2211,1752,1233,860,772,987,1418,1923,2347,2634,2771,2774,2715,2621,2545,2543,2556,2576,2585,2588,2442,2093,1580,
971,1283,1504,1599,1606,1615,1629,1638,1659,1673,1684,1667,1573,1389,1186,1049,1028,1138,1331,1509,1613,1641,1637,1618,1594,1566,1541,1524,1515,1518,1518,1527,1550,1568,1586,1608,1621,1632,1638,1645,1595,1454,1228,993,893,1038,1402,1905,2427,2752,2817,2645,2320,1999,1742,1596,1571,1572,1574,1578,1579,1497,1279,967,
576,762,890,949,954,963,967,975,986,998,1006,997,942,834,708,620,605,677,790,901,965,974,966,946,922,902,889,877,870,867,865,868,886,902,921,936,943,950,955,958,966,957,933,940,1077,1400,1870,2412,2904,3117,2983,2566,2003,1501,1138,945,923,918,913,913,907,859,736,551,
318,421,489,521,522,528,534,542,550,554,553,554,526,469,401,350,339,380,440,498,528,524,508,491,478,474,467,464,461,458,460,463,471,487,503,515,521,521,517,518,575,680,821,1030,1357,1810,2341,2879,3307,3393,3090,2487,1772,1166,736,527,500,498,493,494,489,460,392,292,
160,213,249,263,266,265,270,275,279,278,280,278,266,241,211,187,182,199,227,253,263,259,246,233,224,223,223,227,226,223,221,221,226,238,250,259,263,262,259,261,352,544,821,1200,1687,2242,2800,3291,3619,3576,3138,2402,1589,922,475,275,254,248,243,243,239,223,189,137,
72,96,111,117,120,122,123,124,126,123,123,122,118,112,101,92,89,93,105,115,116,112,105,98,94,94,96,97,98,97,97,98,99,105,111,116,119,119,117,124,239,504,897,1420,2027,2650,3214,3645,3857,3693,3139,2316,1455,759,312,131,114,113,111,109,107,99,83,60,
